	Kingdom	Phylum	Class	Order	Family	Genus
ASV_3754	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10
ASV_3755	Bacteria	Proteobacteria	Gammaproteobacteria	SZB30	NA	NA
ASV_3756	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA	NA
ASV_3757	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV_3758	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_3759	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV_3760	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV_3761	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA
ASV_3762	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
ASV_3763	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	NA	NA
ASV_3764	Bacteria	Firmicutes	Bacilli	NA	NA	NA
ASV_3765	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA
ASV_3766	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
ASV_3767	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Denitromonas
ASV_3768	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
ASV_3769	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_3770	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV_3771	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	NA
ASV_3772	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphobacterium
ASV_3773	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
ASV_3774	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV_3775	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_3776	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
ASV_3777	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA
ASV_3778	Bacteria	Planctomycetes	OM190	NA	NA	NA
ASV_3779	Bacteria	Planctomycetes	BD7-11	NA	NA	NA
ASV_3780	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Blastocatella
