JacobName,Project,Strain,Treatment,Group,Run,SRAName,ReadDir,JacobName2,SRAName2,JacobFile,SRAFile,TrimmedPath,FilteredPath,DerepPath
HPLOH_Blank_NA_NA_26FEB2020_Crash4,Blank,"NA","NA",26FEB2020,Crash4,SRR15066678,1,HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1,SRR15066678_1,HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1.fastq.gz,SRR15066678_1.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1_derep.fastq.gz
HPLOH_Blank_NA_NA_26FEB2020_Crash4,Blank,"NA","NA",26FEB2020,Crash4,SRR15066678,2,HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2,SRR15066678_2,HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2.fastq.gz,SRR15066678_2.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2_derep.fastq.gz
HPLOH_Crash_NEH_Fed_A_Crash4,Crash,NEH,Fed,A,Crash4,SRR15066671,1,HPLOH_Crash_NEH_Fed_A_Crash4_R1,SRR15066671_1,HPLOH_Crash_NEH_Fed_A_Crash4_R1.fastq.gz,SRR15066671_1.fastq.gz,Trimmed/HPLOH_Crash_NEH_Fed_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_A_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Fed_A_Crash4_R1_derep.fastq.gz
HPLOH_Crash_NEH_Fed_A_Crash4,Crash,NEH,Fed,A,Crash4,SRR15066671,2,HPLOH_Crash_NEH_Fed_A_Crash4_R2,SRR15066671_2,HPLOH_Crash_NEH_Fed_A_Crash4_R2.fastq.gz,SRR15066671_2.fastq.gz,Trimmed/HPLOH_Crash_NEH_Fed_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_A_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Fed_A_Crash4_R2_derep.fastq.gz
HPLOH_Mock_Staggered_NA__NoCrash,Mock,Staggered,"NA",,NoCrash,SRR15066679,1,HPLOH_Mock_Staggered_NA__NoCrash_R1,SRR15066679_1,HPLOH_Mock_Staggered_NA__NoCrash_R1.fastq.gz,SRR15066679_1.fastq.gz,Trimmed/HPLOH_Mock_Staggered_NA__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_Mock_Staggered_NA__NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_Mock_Staggered_NA__NoCrash_R1_derep.fastq.gz
HPLOH_Mock_Staggered_NA__NoCrash,Mock,Staggered,"NA",,NoCrash,SRR15066679,2,HPLOH_Mock_Staggered_NA__NoCrash_R2,SRR15066679_2,HPLOH_Mock_Staggered_NA__NoCrash_R2.fastq.gz,SRR15066679_2.fastq.gz,Trimmed/HPLOH_Mock_Staggered_NA__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_Mock_Staggered_NA__NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_Mock_Staggered_NA__NoCrash_R2_derep.fastq.gz
HPLOH_NoCrash_Aqua_Starve_B_NoCrash,NoCrash,Aqua,Starve,B,NoCrash,SRR15066684,1,HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1,SRR15066684_1,HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1.fastq.gz,SRR15066684_1.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1_derep.fastq.gz
HPLOH_NoCrash_Aqua_Starve_B_NoCrash,NoCrash,Aqua,Starve,B,NoCrash,SRR15066684,2,HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2,SRR15066684_2,HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2.fastq.gz,SRR15066684_2.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2_filtered.fastq.gz,Derep/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2_derep.fastq.gz
HPLOH_Crash_Wild_Fed_C_Crash4,Crash,Wild,Fed,C,Crash4,SRR15066692,1,HPLOH_Crash_Wild_Fed_C_Crash4_R1,SRR15066692_1,HPLOH_Crash_Wild_Fed_C_Crash4_R1.fastq.gz,SRR15066692_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_C_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Fed_C_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Fed_C_Crash4,Crash,Wild,Fed,C,Crash4,SRR15066692,2,HPLOH_Crash_Wild_Fed_C_Crash4_R2,SRR15066692_2,HPLOH_Crash_Wild_Fed_C_Crash4_R2.fastq.gz,SRR15066692_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_C_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Fed_C_Crash4_R2_derep.fastq.gz
HPLOH_Crash_NEH_Fed_C_Crash4,Crash,NEH,Fed,C,Crash4,SRR15066701,1,HPLOH_Crash_NEH_Fed_C_Crash4_R1,SRR15066701_1,HPLOH_Crash_NEH_Fed_C_Crash4_R1.fastq.gz,SRR15066701_1.fastq.gz,Trimmed/HPLOH_Crash_NEH_Fed_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_C_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Fed_C_Crash4_R1_derep.fastq.gz
